,addresse,prix,date_vente,details
87,"62 RUE PARMENTIER
93100 MONTREUIL","553 000€
6 144€/m²","Vendu le 22/12/2016
Analyser ce bien",Maison 5 pièces90m²126m²
88,"14 RUE FRANCOIS DEBERGUE
93100 MONTREUIL","805 000€
13 417€/m²","Vendu le 02/12/2016
Analyser ce bien",Maison 3 pièces60m²0m²
89,"18 RUE DE FLEURY
92140 CLAMART","668 500€
6 554€/m²","Vendu le 24/11/2016
Analyser ce bien",Maison 4 pièces102m²325m²
90,"9B RUE DE L ABBE POUCHARD
94160 SAINT-MANDÉ","1 038 500€
5 583€/m²","Vendu le 23/11/2016
Analyser ce bien",Maison 6 pièces186m²133m²
91,"13B RUE DE PALESTRO
93500 PANTIN","378 000€
6 517€/m²","Vendu le 25/10/2016
Analyser ce bien",Maison 3 pièces58m²250m²
92,"15B RUE DE LA LIBERTE
94300 VINCENNES","1 391 500€
14 345€/m²","Vendu le 20/09/2016
Analyser ce bien",Maison 4 pièces97m²176m²
93,"12 VLA PREVOST
92120 MONTROUGE","870 000€
7 909€/m²","Vendu le 12/09/2016
Analyser ce bien",Maison 6 pièces110m²125m²
94,"76 RUE PERRONET
92200 NEUILLY-SUR-SEINE","4 065 000€
22 966€/m²","Vendu le 17/08/2016
Analyser ce bien",Maison 6 pièces177m²0m²
95,"21 RUE DE CHATILLON
92170 VANVES","1 534 000€
10 227€/m²","Vendu le 29/07/2016
Analyser ce bien",Maison 6 pièces150m²444m²
96,"34 RUE MARCELIN BERTHELOT
92170 VANVES","1 143 800€
7 149€/m²","Vendu le 22/07/2016
Analyser ce bien",Maison 7 pièces160m²221m²
97,"18 RUE ANTOINE THOMAS
94200 IVRY-SUR-SEINE","200 000€
3 571€/m²","Vendu le 15/07/2016
Analyser ce bien",Maison 4 pièces56m²68m²
98,"136 AV DE WAGRAM
75017 PARIS","1 700 000€
14 530€/m²","Vendu le 13/07/2016
Analyser ce bien",Maison 5 pièces117m²0m²
99,"85 BD EUGENE DECROS
93260 LES LILAS","820 000€
14 643€/m²","Vendu le 13/07/2016
Analyser ce bien",Maison 3 pièces56m²222m²
100,"7T CITE DU MIDI
75018 PARIS","1 800 000€
33 333€/m²","Vendu le 10/06/2016
Analyser ce bien",Maison 3 pièces54m²221m²
101,"1B RUE RABELAIS
93100 MONTREUIL","200 000€
2 597€/m²","Vendu le 24/05/2016
Analyser ce bien",Maison 2 pièces77m²0m²
102,"7 RUE JACQUES CATRIC
93260 LES LILAS","675 000€
5 870€/m²","Vendu le 17/05/2016
Analyser ce bien",Maison 4 pièces115m²0m²
103,"83 RUE CHAUVEAU
92200 NEUILLY-SUR-SEINE","3 455 000€
13 137€/m²","Vendu le 02/05/2016
Analyser ce bien",Maison 5 pièces263m²343m²
104,"7 ALL VERHAEREN
75014 PARIS","1 800 000€
13 333€/m²","Vendu le 19/04/2016
Analyser ce bien",Maison 6 pièces135m²335m²
105,"17 RUE GILBERT CLERFAYT
94300 VINCENNES","1 260 150€
6 001€/m²","Vendu le 18/04/2016
Analyser ce bien",Maison 6 pièces210m²189m²
