,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
72,NEUF SANS ÉTIQUETTE,407,"TROYES, FRANCE",NIKE ,XL / 42 / 14,2022-04-04 14:25:07.149854,Pull NIKE à col rouler,20.0,"porter deux fois, je le vend car je n’aime pas la coupe du vêtement 
#nike #pullnike"
73,TRÈS BON ÉTAT,332,FRANCE,BOUTIQUE PARISIENNE ,M / 38 / 10,2022-03-18 14:25:07.149857,Pull en maille ajourée blanc 🍂,21.9,"🍂Magnifique pull en maille 
🍂de super qualité 
🍂manches longues 
🍂détail sur la maille 
🍂Neuf
🍂 taille M 
🛍bon shopping 

👀Dans mon dressing il y en a pour tous les goûts alors à vos marques prêt choper 

⭐pratiquement toutes mes photos sont sur mannequin pour vous faire une idée ⭐

🙂les vêtements sont envoyés propre 🙂


🙏J'évite les mesures qui prennent du temps mon mannequin fait un M🙏


🎈🎈Les réductions sur lot sont activés.🎈🎈
🔝2 articles 10%
🔝3 articles 15% 
🔝5 articles 20% 


❓❓la moindre question sur un article , envoyez moi un msg j'y répondrais ❓❓

🎁🎁Chaque colis est envoyé avec soin , petites surprises à l'intérieur et envoie rapide. 🎁🎁

🎀Je vous invite à vous Abonnez je mets souvent des nouveaux articles peut-être que votre coup de cœur💘 sera dans mon dressing🎀

📬Les envoies se font le mercredi et samedi, Mais bien sur que si je peux le faire le jour même de votre achat je le ferais avec plaisir📬
#pull #pullhiver #pullfemme #elodie12850_tailleM"
74,TRÈS BON ÉTAT,314,"NÉZEL, FRANCE",NIKE ,S,2022-04-02 14:25:07.149860,Pull Nike noir,6.99,"Article jamais utilisé et en parfait état #pull #nike #pullnike #pullnikenoir
#pullnkenoire"
75,TRÈS BON ÉTAT,79,FRANCE,LACOSTE ,S,2022-04-04 14:25:07.149863,Pull sweat Lacoste bleu clair,67.0,"porté 3 fois un peu trop petit malheureusement. taille 3 / S
prix très légèrement négociable"
76,NEUF AVEC ÉTIQUETTE,54,"TIELRODE, BELGIQUE / BELGIË",10 DAYS ,M / 38 / 10,2022-04-04 14:25:07.149865,Pull v hals,40.0,toffe zomerpull. 2 materialen. voorkant zijde. achterkant stretchcotton. mooie afwerking aan de mouwen. nieuw!
77,NEUF SANS ÉTIQUETTE,17,"COULOUNIEIX-CHAMIERS, FRANCE",GUESS ,XS / 34 / 6,2022-04-02 14:25:07.149868,Pull gris clair irisé Guess,15.0,"Petit pull sans Manche Guess
Couleur gris très clair irisé
Se porte idéalement avec un jeans 
Taille XS"
78,TRÈS BON ÉTAT,28,"VILLIERS-SAINT-FRÉDERIC, FRANCE",ADIDAS ,S,2022-03-27 14:25:07.149870,Pull Adidas,25.0,"Bonjour, 

je vends un pull Adidas en très bon état, porté 2 à 3 fois. 

Cordialement,
Stephen 

#pulladidas #pulladidasblanc #adidas #pulladidashomme #adidaspull #pullhommeadidas"
79,NEUF SANS ÉTIQUETTE,70,FRANCE,BELLEROSE ,M / 38 / 10,2022-03-22 14:25:07.149873,Pull Bellerose Laine & Angora T 2 Sweater V neck Neuf 165€,79.0,"Bellerose Pull Encolure V Laine et Angora 
une coupe classique, des épaules plutôt basses et un col V couleur bleu canard, en maille côtelée de laine, polyamide, et laine angora avec un peu de lycra. 
Manches longues à épaules fantaisies à plis 
Lainage épais de belle qualité
Taille 2 ( M/38) Reçu en cadeau, il m’est trop grand. 
Jamais porté ni lavé. 
Tout Neuf! 
Valeur 165€"
80,NEUF AVEC ÉTIQUETTE,65,"NOGENT-SUR-MARNE, FRANCE",BOUTIQUE PARISIENNE ,TAILLE UNIQUE,2022-03-23 14:25:07.149876,Pull fin cotton doux 🧡 tendance,25.0,"magnifique pull fin doux tendance 
100 % cotton 
couleur corail 
taille unique 
made in Italie 🇮🇹 
neuf avec étiquette 

#cotton #coeur #tendance #corail #frednetti # neuf"
81,NEUF SANS ÉTIQUETTE,164,BELGIQUE / BELGIË,AMI ,XXL / 44 / 16,2022-03-25 14:25:07.149878,Pull Ami Paris Gris,120.0,"Porté quelques fois, comme vous le voyez sur la photo, il est trop grand pour moi, peut se porter en robe pour des filles, je pense 🤷🏽‍♂️. Pour les garçons, je fais 1m77."
