,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
19,NEUF SANS ÉTIQUETTE,103,"SAINT-GERMAIN-EN-LAYE, FRANCE",ÉRAM ,41,2022-03-26 15:23:58.480514,Baskets,15.0,Baskets fleurs blanches. Portées une fois. Très confortables. Un peu de transparence entre les fleurs
20,NEUF AVEC ÉTIQUETTE,419,"THÉROUANNE, FRANCE",VANESSA WU ,41,2022-04-02 15:23:58.480516,Baskets Vanessa Wu,49.0,"Baskets argentées et vertes de chez Vanessa Wu pointure 41 
Neuves dans boîte d'origine elles sont malheureusement trop grandes pour moi"
21,TRÈS BON ÉTAT,164,"PARIS, FRANCE",STEVE MADDEN ,37,2022-03-14 15:23:58.480519,Steve Madden baskets vernies noires petit 37,15.0,"iront davantage à un 36,5 
achetées sur Vinted
mais trop courtes pour mon 37"
22,TRÈS BON ÉTAT,113,FRANCE,LE TEMPS DES CERISES ,41,2022-04-04 15:23:58.480522,Baskets cuir le temps des cerises 41,23.0,"baskets en excellent etat
semelle noircie d’origine pour donner un style usagé 
tres peu portées 
pointure 41"
23,TRÈS BON ÉTAT,5,"GONDECOURT, FRANCE",LACOSTE ,35,2022-04-04 12:23:58.480524,Baskets Lacoste fille pointure 35,18.0,"Baskets en très bon état car peu portées, ma fille a eu des converses juste après et ne les a plus portées. Pas d' usure de la semelle ( photo) Achetées 65€ en magasin."
24,TRÈS BON ÉTAT,112,"RIOM, FRANCE",KAPPA ,37,2022-04-04 15:23:58.480527,Baskets Kappa taille 37,15.0,Baskets ultra légère très agréable à porter de marque Kappa taille 37
25,NEUF SANS ÉTIQUETTE,293,BELGIQUE / BELGIË,MOLLY BRACKEN ,41,2022-03-27 15:23:58.480529,Baskets,25.0,"Baskets basse, blanches et argenté à l'arrière, neuve avec sa boîte d'origine 👍"
26,BON ÉTAT,77,"SAINT-VIT, FRANCE",PUMA ,21,2022-03-26 15:23:58.480532,Paire de baskets de fille,8.0,paire de baskets filles puma a scratchs
27,NEUF SANS ÉTIQUETTE,35,"ROYAN, FRANCE",SKECHERS ,37,2022-03-29 15:23:58.480535,Baskets,18.0,"Basket Sneakers
Dessus synthétique
Doublé Textile
Pointure 37
Pas servi"
28,TRÈS BON ÉTAT,191,"RAISMES, FRANCE",CONVERSE ,41,2022-04-04 15:23:58.480537,Baskets converse,30.0,"Sublime converses, pointure 41,en parfait état.
Peut se porter baskets haute ou repliée"
29,NEUF AVEC ÉTIQUETTE,40,FRANCE,GLOBE ,37,2022-04-04 15:23:58.480539,"Baskets Globe, neuves",55.0,"Non portées, toutes neuves dans leur boîte. 

Tres joli modèle, Couleur "" strawberry sundae "", rose poudré. Confortables et durables 
2ème lacet fourni 

Envoi très rapide"
30,TRÈS BON ÉTAT,19,FRANCE,AUTRE TON ,41,2022-04-04 15:23:58.480542,Baskets femmes 41,6.0,Baskets femmes taille 41 marron à lacets légèrement bombée aux pieds idéale pour la marche et galber vos mollets
31,TRÈS BON ÉTAT,226,FRANCE,GEOX ,37,2022-04-04 15:23:58.480544,baskets,35.0,"baskets"" GEOX "" noires .
Elles sont quasi neuves (trop grandes pour moi)
Fermeture éclair sur l'arrière de la chaussure.
Semelle intérieure cuir.
Cuir verni noir sur avant de la chaussure.
Etat impeccable!"
32,TRÈS BON ÉTAT,30,FRANCE,REMONTE SOFT ,37,2022-03-30 15:23:58.480547,"Chaussures Sport Femme, Sneakers Femme, Baskets Femme,Très bon état, Marque « Remonte » Taille 37🌺",19.0,"Baskets Femme , marquage de petits points dorés sur le devant et sur une partie des cotés, et noir brillant à l’arrière .
Très bon état.
fermeture ZIP &Lacets
 Très peu porté.
Pris d’achat €59,00.

@jeannema1952"
33,NEUF AVEC ÉTIQUETTE,217,"ANTIBES, FRANCE",FOREVER FOLIE ,41,2022-04-04 15:23:58.480549,Baskets plate forme,20.0,Joli basket noir imprimé léopard à plateforme neuf juste porté une fois. Trop grande .41 encore dans sa boîte
34,NEUF SANS ÉTIQUETTE,24,FRANCE,CETTI ,41,2022-04-01 15:23:58.480552,Chaussures/Baskets T.41 CETTI Neuve,70.0,"Chaussures/Baskets T.41 CETTI Neuve
valeur 129 €"
35,TRÈS BON ÉTAT,219,"ESCALONA, ESPAÑA",LOTTO ,41,2022-04-04 15:23:58.480554,Zapatillas Lotto/ Baskets Lotto,28.0,"Zapatillas Lotto. Modelo Wayne Mid VI Suede W fucsia

Baskets Lotto. Modèle Wayne Mid VI Suede W fucsia"
36,TRÈS BON ÉTAT,57,"DIVES-SUR-MER, FRANCE",ANDRÉ ,37,2022-04-04 15:23:58.480556,Baskets montantes quasi neuves,8.0,"Parfait état ;Portées une fois ;nubuck et tissu ,très agréables à porter ,très souples"
37,TRÈS BON ÉTAT,28,"SAVY, FRANCE",GOLA ,43,2022-04-04 15:23:58.480559,Baskets urbaines U.K Gola,55.0,"Paires de baskets urbaines de la marque britannique Gola couleurs marine et beige foncés (avec inscription de la marque en dorée et logo U.K sur les languettes).

En très bon état général (pas vraiment d'usures car peu portées). Envoi rapide et soigné (brossage de chaussures effectué avant expédition)."
38,TRÈS BON ÉTAT,57,"LAUZERVILLE, FRANCE",BOUTIQUE PARISIENNE ,37,2022-03-31 15:23:58.480561,Baskets scratch fourrure,10.0,"baskets blanche plateforme scratch et fourrure rose
taille 37 mais grand"
39,TRÈS BON ÉTAT,23,"NANTES, FRANCE",ELLESSE ,37,2022-04-04 15:23:58.480564,Baskets Ellesse,60.0,"Baskets Ellesse
Taille 37
Portées 2/3 fois
Très très bon état"
