,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
82,NEUF AVEC ÉTIQUETTE,153,"ANICHE, FRANCE",RALPH LAUREN ,L,2022-04-02 18:58:12.711777,T-shirt Ralph Lauren Rose Carmel taille L,37.4,"𝐁𝐢𝐞𝐧 𝐥𝐞 𝐛𝗼𝐧𝐣𝗼𝐮𝐫 ☁️

À vendre 

T-shirt en jersey col rond 
Ralph Lauren
Rose
L


N’hésitez pas à venir en privé. ✉️
Bonne fin de journée ☀️"
83,TRÈS BON ÉTAT,6,"CHAMBON-LA-FORÊT, FRANCE",TEDDY SMITH ,S,2022-04-01 18:58:12.711798,T-shirt uni Teddy smith,5.0,très bon etat
84,BON ÉTAT,14,"ALBERT, FRANCE",HOLLISTER ,L,2022-04-01 18:58:12.711801,T-shirt uni,4.0,T-shirt uni Hollister en bon état (voir mon dressing plusieurs couleurs dispo)
85,TRÈS BON ÉTAT,48,"TAVERNY, FRANCE",BURBERRY ,L,2022-04-04 18:58:12.711803,T shirt Burberry,35.0,Comme neuf
86,TRÈS BON ÉTAT,109,"BISCHWIHR, FRANCE",TWIN SET ,L,2022-03-29 18:58:12.711806,Pull manches courtes noir,35.0,Beau pull noir avec dentelle Twin-set
87,NEUF AVEC ÉTIQUETTE,55,"ANICHE, FRANCE",SANDRO ,XL,2022-04-02 18:58:12.711809,T-shirt Sandro Paris jaune taille XL,47.2,"𝐁𝐢𝐞𝐧 𝐥𝐞 𝐛𝗼𝐧𝐣𝗼𝐮𝐫 ☁️

À vendre 

T-shirt
Sandro
Jaune
XL


N’hésitez pas à venir en privé. ✉️
Bonne fin de journée ☀️"
88,BON ÉTAT,15,"ALBERT, FRANCE",HOLLISTER ,L,2022-04-01 18:58:12.711812,T-shirt uni,4.0,T-shirt uni Hollister en bon état (voir mon dressing plusieurs couleurs dispo)
89,TRÈS BON ÉTAT,22,"BASSEMBERG, FRANCE",LACOSTE ,S,2022-04-01 18:58:12.711814,🍀 T shirt lacoste gris uni 🍀,22.0,"⚠️ Veillez à bien vérifier les mesures, plus de photos sont disponibles sur demande ! 

🏷️T shirt lacoste uni gris. 

➟ État : 9/10
➟ Très bon état 
➟ Taille S

🍀 Les colis que j'expédie sont propre et soignée et déposé en moins de 2 jours ouvrés (mondial relais ainsi que relais colis) ! 🚚"
90,TRÈS BON ÉTAT,101,"LYON, FRANCE",NIKE ,XXL,2022-04-04 18:58:12.711817,T shirt nike,10.0,t shirt nike air vintage
91,TRÈS BON ÉTAT,1,"PARIS, FRANCE",TEDDY SMITH ,S,2022-04-04 18:58:12.711820,T-shirt uni col V Teddy Smith,7.0,"Très peu porté. Parfait état. Beau classique
Bleu marine"
