,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
64,TRÈS BON ÉTAT,79,"RENNES, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177608,T-shirt missguided,4.0,"t-shirt loose missguided en parfait état 

Image imprimée dans le dos"
65,NEUF AVEC ÉTIQUETTE,53,"BRON, FRANCE",MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177610,T shirt Missguided S,7.0,T shirt de la marque Missguided taille s neuf avec étiquette. Acheté sur zalando.
66,TRÈS BON ÉTAT,61,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177612,Tee shirt motif,3.9,"excellent état 
taille 36"
67,NEUF SANS ÉTIQUETTE,15,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177617,Lot de hauts,6.0,"comme neuf 

top vert kaki benitier : taille 34( convient au 36) boohoo
body velours dos nu: taille 36 missguided 
tee shirt rose : taille 36 newlook"
68,NEUF SANS ÉTIQUETTE,8,FRANCE,MISSGUIDED ,S / 36 / 8,2022-04-29 18:19:21.177620,Tee shirt rouge oversize,4.0,"neuf 
taille 36"
69,TRÈS BON ÉTAT,11,FRANCE,MISSGUIDED ,S / 36 / 8,2022-05-12 18:19:21.177622,Top a manches courtes facon sweat oversize,5.0,"excellent état 
taille 36 ( peut convenir a un 38 étant oversize )"
70,NEUF SANS ÉTIQUETTE,511,FRANCE,SHEIN ,M / 38 / 10,2022-05-12 18:19:21.177625,Crop top rouge pailletté à chaînes,5.0,"neuf 
taille M"
71,TRÈS BON ÉTAT,5,FRANCE,MISSGUIDED ,L / 40 / 12,2022-05-12 18:19:21.177627,T-shirt manches longues Missguided,6.0,T-Shirt manches longues Missguided couleur rose fluo avec col cheminée
72,NEUF AVEC ÉTIQUETTE,15,"SAINT-MARTIN-DE-CRAU, FRANCE",MISSGUIDED ,M,2022-05-12 18:19:21.177629,T-shirt Over Missguided,5.0,T-shirt jamais porté neuf
73,TRÈS BON ÉTAT,26,"BÉZIERS, FRANCE",MISSGUIDED ,M,2022-05-12 18:19:21.177631,T shirt Missguided je t aime,3.0,"Excellent etat. Peu porté!

#tshirt #tshirtoversize #MISSGUIDED #TSHIRTMISSGUIDED"
