,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
46,TRÈS BON ÉTAT,101,"TOURCOING, FRANCE",ADIDAS ,M,2022-05-07 20:01:35.291859,Tshirt manchester,15.0,Tshirt manchester
47,TRÈS BON ÉTAT,21,"RIJSWIJK, NEDERLAND",ADIDAS ,M / 38 / 10,2022-05-12 20:01:35.291862,Adidas shirt basic,8.0,"Adidas shirt basic met logo op de voorkant in maat 38, dus M"
48,TRÈS BON ÉTAT,294,"CHILLY, FRANCE",ADIDAS ,L,2022-04-18 20:01:35.291865,Très beau maillot noir orange 🍊 Adidas,19.0,Très bon état 👍 taille L maillot du mondial de Madrid
49,TRÈS BON ÉTAT,230,"ALBERTVILLE, FRANCE",ADIDAS ,M,2022-05-05 20:01:35.291869,Tee-shirt,8.0,Taille M neuf
50,TRÈS BON ÉTAT,252,"TORRENT, ESPAÑA",ADIDAS ,L,2022-05-07 20:01:35.291872,Camiseta adidas,15.0,"Talla L, uso de 3 veces, muy buen estado, la talla es normal."
51,NEUF SANS ÉTIQUETTE,145,"SALERNO, ITALIA",ADIDAS ,M,2022-05-12 20:01:35.291875,Maglietta Adidas,20.0,"Maglietta Adidas, indossata poche volte M"
52,TRÈS BON ÉTAT,137,FRANCE,ADIDAS ,S,2022-05-12 20:01:35.291878,T-Shirt Adidas Bleu Marine • Exclusif !!,13.0,"T-shirt Adidas Bleu Marine • Exclusif !! 

Taille : S

Mesures :

- Longueur : 70 cm 
- Épaule à épaule : 43 cm 
- Aisselle à aisselle : 51 cm 


Vêtement qui sera lavé et repassé avant envoi 😊 







FPTS14 


#tshirt #sportwear #streetwear #mode #exclusif #vintage #VK_tshirt #ete #summer #tendance"
53,NEUF SANS ÉTIQUETTE,10,"SAINT-SAUVEUR, FRANCE",ADIDAS ,M,2022-05-12 17:01:35.291881,T-shirt adidas mixte femme et homme,11.0,Jamais mis
54,BON ÉTAT,69,"VILA NOVA DE GAIA, PORTUGAL",ADIDAS ,S / 36 / 8,2022-05-12 20:01:35.291884,T-shirt Adidas vintage,10.0,"Em bom estado, com algumas marcas de uso. Tamanho S que serve até M. Unisexo 

#adidasvintage"
55,BON ÉTAT,4,"NIORT, FRANCE",ADIDAS ,L,2022-05-12 20:01:35.291887,T-shirt Adidas x Simpson,17.0,Peu porté. Marqué S mais taille L
56,NEUF SANS ÉTIQUETTE,152,"POULLAOUEN, FRANCE",ADIDAS ,M / 38 / 10,2022-05-12 20:01:35.291890,Chemise sans manches Adidas,12.99,"Neuf sans étiquette, jamais porté."
57,TRÈS BON ÉTAT,40,"LYON, FRANCE",ADIDAS ,L,2022-05-02 20:01:35.291894,Adidas vintage,15.0,t shirt adidas vintage
