,ÉTAT,NOMBRE DE VUES,EMPLACEMENT,MARQUE,TAILLE,AJOUTÉ,nom,prix,description
46,TRÈS BON ÉTAT,49,"TOUFFLERS, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-12 17:29:20.706800,Tee shirt,4.0,taille S
47,NEUF SANS ÉTIQUETTE,34,"NICE, FRANCE",PRETTYLITTLETHING ,S / 36 / 8,2022-05-09 17:29:20.706802,T-shirt gris simple,9.0,"Serré mais fait un beau buste
#prettylittlething 
#été2022"
48,TRÈS BON ÉTAT,91,FRANCE,PRETTYLITTLETHING ,XS / 34 / 6,2022-05-04 17:29:20.706805,Top prettylittlething ouvert dans le dos.,2.0,"Top court taille 36 (⚠️ taille petit. Si vous avez les épaules larges il ne passera pas) convient plus a un 34 ou un très petit 36. 

Ouvert dans le dos. Col montant. Liens a nouer"
49,NEUF AVEC ÉTIQUETTE,30,FRANCE,PRETTYLITTLETHING ,XS / 34 / 6,2022-04-24 17:29:20.706808,Teeshirt manche longue PLT,10.0,"teeshirt manche longue noir PLT neuf 
taille XS"
50,NEUF SANS ÉTIQUETTE,15,FRANCE,PRETTYLITTLETHING ,S / 36 / 8,2022-05-03 17:29:20.706810,T-shirt manches courtes gris pierre à slogan PLT,7.0,Jamais porté
51,TRÈS BON ÉTAT,33,FRANCE,PRETTYLITTLETHING ,M / 38 / 10,2022-04-24 17:29:20.706813,"T-shirt imprimé ""international"" prettylittlething",9.0,Très peu porté
52,NEUF SANS ÉTIQUETTE,95,FRANCE,PRETTYLITTLETHING ,XL / 42 / 14,2022-05-12 17:29:20.706815,Robe t-shirt à rayures,5.0,"❤ 2 en 1 : robe t-shirt de la marque PRETTYLITTLETHING à rayures rouges, noires et blanches. Parfaite pour l'été ! Peut servir de t-shirt oversize (rend très jolie nouée) ou bien de robe. Porté une seule fois donc comme neuf.

👤 Taille 42.

✒ N'hésitez pas à me poser des questions ou à me demander d'autres photos ! Puis n'oubliez pas de jeter un coup d'œil à mon dressing 😊"
53,BON ÉTAT,10,FRANCE,PRETTYLITTLETHING ,XS / 34 / 6,2022-05-12 17:29:20.706817,TEE shirt manches longues Prettylittlething,5.0,A motif renaissance et à serrer sur les côtés
54,NEUF SANS ÉTIQUETTE,13,FRANCE,PRETTYLITTLETHING ,S / 36 / 8,2022-05-01 17:29:20.706820,T-shirt manche longue Prettylittlething,8.0,"T-shirt manche longues 
Neuf sans étiquette"
55,TRÈS BON ÉTAT,27,FRANCE,PRETTYLITTLETHING ,XXS / 32 / 4,2022-05-05 17:29:20.706822,Haut Pretty Little Thing,1.5,Haut blanc avec nœud sur le côté très bon état.
