,brand,incidence
1102,Emma,8259
1103,Etincelle,8241
1104,Edge,8013
1105,Escorpion,7978
1106,Esperance,7927
1107,Eucerin,7935
1108,Emonite,7858
1109,Et Dieu Créa La Femme,7813
1110,Each x Other,7807
1111,Eden & Victor,7790
1112,elefun,7753
1113,Emamoda,7650
1114,Eskimo,7547
1115,Escada Sport,7540
1116,Erborian,7536
1117,Eiki,7482
1118,Etxart & Panno,7378
1119,engbers,7317
1120,Energetix,7307
1121,ECHO,7325
1122,Eden Shoes,7186
1123,EXPOSURE,7045
1124,ECKO UNLTD.,7047
1125,EAST,7009
1126,Elvira,6790
1127,e.l.f.,6708
1128,Eureka,6607
1129,ewers,6567
1130,Emile et Rose,6568
1131,Esprit de la Mer,6500
1132,El caballo,6501
1133,Early day,6402
1134,En Fant,6396
1135,Ewa Klucze,6401
1136,easy peasy,6261
1137,Eveline,6250
1138,Emery Rose,6245
1139,Everest,6138
1140,ENVIE,6064
1141,Emmanuelle Khanh,6008
1142,Energy,6011
1143,Elisa Landri,5937
1144,Esprit Collection,5922
1145,Elise Ryan,5847
1146,eveil et jeux,5807
1147,Eva,5770
1148,Emma & Chloé,5675
1149,Essenza,5628
1150,Eurodif,5604
1151,EMC,5520
1152,Elsa,5507
1153,Egmont,5485
1154,Equilibre,5454
1155,Enza Nucci,5439
1156,E5-mode,5367
1157,Ergobag,5320
1158,ELC,5283
1159,Euro-Star,5240
1160,Envog,5177
1161,Enza & Lea,5146
1162,Eisbär,5143
1163,Eco,5143
1164,Eastex,5132
1165,ERFO,5095
1166,Eldera,5060
1167,Extra Me,5015
1168,Ekoi,4900
1169,estrada,4880
1170,ELENZA By L&L,4877
1171,Este,4797
1172,Eleven,4706
1173,Eva Castro,4701
1174,elkline,4678
1175,Entracte,4676
1176,EAGLEMOSS COLLECTIONS,4621
1177,Extreme,4563
1178,Equipment,4515
1179,Ergos,4495
1180,EA Sports,4511
1181,Esisto,4498
1182,Evalinka,4463
1183,ECKO RED,4440
1184,Eva Minge,4465
1185,Eva Tralala,4369
1186,F&F,1370953
1187,Forever 21,730032
1188,FILA,686224
1189,Funko,417937
1190,FB Sister,388558
1191,Fisher Price,349105
1192,Fouganza,195352
1193,Feetje,177335
1194,Fred Perry,174358
1195,Fossil,173868
1196,Fashion,171353
1197,Formula joven,171320
1198,French Connection,141528
1199,Firefly,134557
1200,Fishbone,133329
1201,Fabrication Artisanale,127211
1202,Filou & Friends,120153
1203,Freeman T. Porter,115924
1204,Fagottino,113819
1205,Fait-Maison,96449
1206,FatFace,93635
1207,Fashion Private Company,90783
1208,Frozen,90759
1209,Fendi,90023
1210,Fruit of the Loom,89761
1211,Fornarina,89120
1212,FIFA,85476
1213,Furla,80468
1214,Freegun,73000
1215,Franklin & Marshall,60069
1216,Fashion Nova,59918
1217,Fortnite,58570
1218,Ferrari,57878
1219,FSBN,57757
1220,Fred & Flo,56869
1221,Fórmul@,55790
1222,Frugi,45232
1223,flame,44878
1224,Freestyle,44340
1225,Firetrap,43996
1226,Femme,41563
1227,Free People,40922
